School,W-L%,SRS,SOS,Conf W-L%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Seed
Duke ,0.842,26.9,11.98,0.777777778,73.2,112.6,0.332,0.373,0.561,53.8,52.4,12.4,16.4,0.536,14.8,35.3,0.228,1
North Dakota State ,0.543,-4.01,-2.07,0.5625,66.8,108.5,0.318,0.472,0.576,48.7,46,6.8,6.6,0.54,14.2,20.6,0.247,16
Virginia Commonwealth ,0.758,11.96,2.87,0.888888889,69,102.1,0.357,0.412,0.535,50.8,54.9,11.5,12.2,0.501,17.3,31,0.251,8
Central Florida ,0.727,13.37,5.58,0.722222222,67.3,107,0.453,0.356,0.557,51.5,53.6,8.5,12.6,0.529,15.5,29,0.294,9
Mississippi State ,0.676,15.96,9.07,0.555555556,68.5,112,0.327,0.391,0.574,52.8,51.2,11.7,14,0.546,16.5,34.6,0.234,5
Liberty ,0.806,5.27,-3.88,0.875,65.4,112.8,0.265,0.441,0.596,51.5,55.2,9.5,8.1,0.569,15.1,25.1,0.205,12
Virginia Tech ,0.743,19.28,7.8,0.666666667,64.4,113.3,0.319,0.438,0.589,51.9,59.5,10.4,8.4,0.556,15.2,29.2,0.243,4
Saint Louis ,0.639,5.06,2.23,0.555555556,67,99.4,0.394,0.329,0.493,54.5,53.8,10.5,11.9,0.467,16,35.7,0.236,13
Maryland ,0.676,16.01,10.1,0.65,66.6,107.3,0.328,0.37,0.55,56,52.1,6.5,13.3,0.514,16.5,34,0.244,6
Belmont ,0.818,9.12,-2.6,0.888888889,74.2,116.2,0.286,0.44,0.603,52.2,61.9,8.9,9.1,0.58,13.7,25.1,0.211,11
Louisiana State ,0.8,16.5,9.16,0.888888889,70.6,111.1,0.371,0.342,0.554,53,45.7,12.2,11.8,0.512,15.1,36.2,0.279,3
Yale ,0.733,5.53,-1.23,0.714285714,72.9,109.7,0.307,0.35,0.584,52.9,56.3,8,11.2,0.556,15.9,25.8,0.227,14
Louisville ,0.588,17.28,11.04,0.555555556,68.4,107.4,0.349,0.437,0.553,52.4,53.6,6.3,7.7,0.509,15.2,29,0.271,7
Minnesota ,0.611,12.52,11.27,0.45,67.9,103.7,0.416,0.296,0.521,51.2,58.7,7.1,10.1,0.482,14.6,30.9,0.283,10
Michigan State ,0.821,24.93,12.34,0.8,68.1,113.1,0.336,0.378,0.585,56.1,66.9,7.5,13.7,0.552,16,33.2,0.253,2
Bradley ,0.571,-0.08,-0.9,0.5,66.2,100.2,0.359,0.348,0.531,50.7,52.1,8,11.5,0.497,16.7,26.9,0.248,15
Gonzaga ,0.892,27.79,5.01,1,71.7,122.2,0.353,0.353,0.62,54.7,56.2,10.5,13.7,0.59,13.1,30.4,0.269,1
Fairleigh Dickinson ,0.6,-6.07,-7.22,0.666666667,68.7,107.5,0.363,0.347,0.576,49.3,52.8,10.7,10.5,0.544,17.3,28.8,0.263,16
Syracuse ,0.588,13.73,10.09,0.555555556,67.1,103.4,0.368,0.432,0.529,48.4,50.5,12.1,16.8,0.496,15.9,30,0.252,8
Baylor ,0.588,13.38,9.26,0.555555556,66.6,107.5,0.323,0.408,0.538,54.1,54.4,9.2,13.8,0.512,16.4,37.4,0.219,9
Marquette ,0.706,14.78,6.96,0.666666667,70.7,108.2,0.351,0.417,0.572,53,51.1,6.9,11.2,0.535,16.9,29.1,0.266,5
Murray State ,0.848,8.96,-3.11,0.888888889,71.8,115,0.336,0.364,0.586,52.1,59.8,10.5,11.5,0.557,14.7,31.3,0.246,12
Florida State ,0.784,17.99,10.26,0.722222222,69.5,106.3,0.358,0.377,0.545,53.2,49.5,10.2,12.7,0.505,16.2,32.3,0.267,4
Vermont ,0.794,4.88,-4.18,0.875,66.5,110.2,0.359,0.403,0.568,53.2,46.2,8.3,11.9,0.53,14.6,27.3,0.269,13
Buffalo ,0.889,15.57,2.62,0.888888889,74.5,112.8,0.327,0.436,0.561,52.5,55.3,9.8,10.1,0.535,13.8,31.8,0.225,6
Arizona State ,0.676,10.28,6.04,0.666666667,72.5,105.4,0.438,0.355,0.543,52.6,51.1,8.5,9.6,0.506,16.1,31.3,0.298,11
Texas Tech ,0.816,22.79,9.53,0.777777778,67.6,106.9,0.329,0.36,0.567,50.7,50.3,10.6,15.4,0.535,15.8,26.3,0.241,3
Northern Kentucky ,0.743,4.67,-2.39,0.722222222,70,111.3,0.354,0.413,0.574,53.2,60.5,8.8,11.5,0.553,15.6,30.6,0.236,14
