School,W-L%,SRS,SOS,Conf W-L%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Seed,Sort,Composite
Duke ,0.897,24.97,9.87,0.833333333,65.9,119.4,0.398,0.334,0.593,53.9,53.5,10.7,9,0.566,13.9,35.8,0.278,1,64,33.5
Wisconsin ,0.9,24.61,10.29,0.888888889,59.5,121.1,0.362,0.374,0.585,54.7,49.7,7.3,8.2,0.548,10.7,32.1,0.276,1,63,21.2
Kentucky ,0.974,28.72,8.67,1,63.8,115.5,0.439,0.271,0.558,54.9,55,10.1,18.2,0.515,13.6,39.5,0.319,1,62,24
Michigan State ,0.692,17.46,10,0.666666667,63,109.7,0.327,0.35,0.55,53.9,63.7,8,12.6,0.532,14.9,33.4,0.207,7,61,12.6
Arizona ,0.895,24.33,7.41,0.888888889,66.5,114.7,0.471,0.259,0.575,56.8,52.3,10.8,9.8,0.535,14.2,34.5,0.338,2,60,18.3
Gonzaga ,0.921,21.12,5.12,0.944444444,65.2,120.3,0.387,0.317,0.606,55.5,57.2,9.1,8.4,0.584,13.9,34.1,0.267,2,59,15.8
Louisville ,0.75,18.12,8.98,0.666666667,65.6,104.5,0.387,0.314,0.512,51.8,47.7,11.9,14.4,0.477,14.4,34.7,0.258,4,58,13.8
Notre Dame ,0.842,19.23,7.02,0.777777778,63.7,120.4,0.367,0.376,0.612,49.8,54.9,10.4,9.1,0.583,12.9,27.9,0.272,3,57,13
Xavier ,0.622,15.42,9.48,0.5,65.6,109.8,0.385,0.331,0.57,52.8,62.3,9,8.3,0.534,15.8,31.3,0.281,6,56,12.3
Utah ,0.743,20.98,7.42,0.722222222,62.6,113.5,0.432,0.372,0.588,53.7,57.6,9.5,13.5,0.557,16.1,31.6,0.303,5,55,10
Oklahoma ,0.686,18.65,9.94,0.666666667,67.4,105.2,0.328,0.338,0.532,51.1,48.6,10,12.9,0.493,15.1,31.5,0.243,3,54,9.7
Wichita State ,0.857,15.56,3.68,0.944444444,61.9,112.7,0.37,0.347,0.541,53.6,55.3,11.5,11.3,0.507,12.6,34.9,0.259,7,53,8.3
